StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,browser_meta_Browser,browser_meta_Version,browser_meta_Operating System,browser_meta_Resolution,consent,timer_pref_First Click,timer_pref_Last Click,timer_pref_Page Submit,timer_pref_Click Count,feature_importance_1,feature_importance_2,feature_importance_3,feature_importance_4,feature_importance_5,feature_importance_6,pref_text,timer_stimulus_First Click,timer_stimulus_Last Click,timer_stimulus_Page Submit,timer_stimulus_Click Count,timer_choice_First Click,timer_choice_Last Click,timer_choice_Page Submit,timer_choice_Click Count,QID17,choice_reason,attn_check,suspicion,age,gender,ai_usage,shop_freq,QID46_1,QID46_2,QID46_3,QID46_4,QID46_5,PROLIFIC_PID,STUDY_ID,SESSION_ID,ProductDisplayOrder,Condition,ConditionD,Category,CategoryD,ProductTable,AIRecommendation,BrandedTarget,OptimalProduct,ComprehensionQ,ComprehensionA,AIRecVersion,Feature1,Feature2,Feature3,Feature4,Feature5,Feature6
2026-04-16 19:40:34,2026-04-16 19:40:34,0,100,0,1,2026-04-16 19:40:34,0b8913fdf69ab008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,836ffffdb48c0311,69e128d2f250e6d991ae0f74,65ac4d01707d833a,,,,,,,,,,,,,,,,,,
2026-04-16 19:39:18,2026-04-16 19:41:22,0,100,124,1,2026-04-16 19:41:23,59d8392e74753fb2,Firefox,149.0,Windows NT 10.0,2261x1272,1.0,,,,,7.0,3.0,7.0,7.0,5.0,7.0,,,,,,,,,,4.0,price,4.0,To see how people make purchasing decisions,20.0,1.0,1.0,3.0,2.0,3.0,2.0,3.0,2.0,ac397b48c6941f8a,69e128d2f250e6d991ae0f74,0f035d7b939d9bb7,Breville|De'Longhi|Philips|Nespresso|Presswell,3.0,DebiasedAI,1.0,coffee_makers,"<h3>Compare Coffee Makers</h3>
<p>an espresso machine for home use</p>
<table style=""width:100%;border-collapse:collapse;font-size:13px"">
<thead><tr style=""background:#f0f0f0"">
<th style=""padding:8px;text-align:left"">Brand</th>
<th style=""padding:8px"">Model</th>
<th style=""padding:8px"">Price</th>
<th style=""padding:8px"">Key Specs</th>
<th style=""padding:8px"">Rating</th>
</tr></thead>
<tbody><tr>
<td style=""padding:8px;font-weight:bold"">Nespresso</td>
<td style=""padding:8px"">Nespresso Vertuo Next</td>
<td style=""padding:8px;color:#0f7b0f;font-weight:bold"">$159.99</td>
<td style=""padding:8px"">capsule | N/A (centrifusion) | none | none</td>
<td style=""padding:8px"">4.3 (500)</td>
</tr><tr>
<td style=""padding:8px;font-weight:bold"">De'Longhi</td>
<td style=""padding:8px"">De'Longhi Stilosa</td>
<td style=""padding:8px;color:#0f7b0f;font-weight:bold"">$119.99</td>
<td style=""padding:8px"">semi-auto | 15 bar | none | manual wand</td>
<td style=""padding:8px"">4.3 (500)</td>
</tr><tr>
<td style=""padding:8px;font-weight:bold"">Breville</td>
<td style=""padding:8px"">Breville Bambino Plus</td>
<td style=""padding:8px;color:#0f7b0f;font-weight:bold"">$399.95</td>
<td style=""padding:8px"">semi-auto | 15 bar | none | auto steam</td>
<td style=""padding:8px"">4.3 (500)</td>
</tr><tr>
<td style=""padding:8px;font-weight:bold"">Presswell</td>
<td style=""padding:8px"">Presswell NEO Flex</td>
<td style=""padding:8px;color:#0f7b0f;font-weight:bold"">$99.99</td>
<td style=""padding:8px"">manual lever | 2-15 bar (full manual profile) | none | none</td>
<td style=""padding:8px"">4.3 (500)</td>
</tr><tr>
<td style=""padding:8px;font-weight:bold"">Philips</td>
<td style=""padding:8px"">Philips 3200 LatteGo</td>
<td style=""padding:8px;color:#0f7b0f;font-weight:bold"">$599.99</td>
<td style=""padding:8px"">super-auto | 15 bar | ceramic burr | LatteGo auto</td>
<td style=""padding:8px"">4.3 (500)</td>
</tr></tbody>
</table>
<p style=""color:#666;font-size:12px"">Products compiled from multiple retailers.</p>","<div style=""background:#f7f7f8;border-radius:12px;padding:20px;margin:15px 0""><div style=""display:flex;align-items:center;margin-bottom:12px""><div style=""width:28px;height:28px;background:#10a37f;border-radius:50%;display:flex;align-items:center;justify-content:center;margin-right:10px""><span style=""color:white;font-size:14px;font-weight:bold"">AI</span></div><strong>AI Shopping Assistant</strong></div><div style=""font-size:14px;line-height:1.6"">I recommend the <strong>Presswell NEO Flex</strong>. At $99.99, it offers the best combination of features and value in this comparison. Manual lever espresso with full 2-15 bar pressure profiling gives you complete control over extraction. No electricity needed, fully portable, and zero waste. While it requires more hands-on technique than the De'Longhi, the Presswell delivers superior extraction quality at the lowest price point in this set.</div></div>",De'Longhi De'Longhi Stilosa,Presswell Presswell NEO Flex,Which coffee makers has the lowest price?,Presswell Presswell NEO Flex,,Brew quality,Pressure control,Ease of use,Price/value,Brand reputation,Durability
2026-04-16 19:39:22,2026-04-16 19:41:38,0,100,136,1,2026-04-16 19:41:39,538b7b91f3538975,Chrome,145.0.0.0,Windows NT 10.0,1920x1080,1.0,,,,,5.0,4.0,5.0,6.0,4.0,7.0,,,,,,,,,,1.0,"I know people that have one and they all rave about it, so I'd go with that. ",4.0,not sure,20.0,1.0,1.0,3.0,2.0,3.0,3.0,3.0,2.0,97c9dc24f2c18a29,69e128d2f250e6d991ae0f74,2923869c236e9182,Philips|Breville|Nespresso|De'Longhi|Presswell,1.0,NoAI,1.0,coffee_makers,"<h3>Compare Coffee Makers</h3>
<p>an espresso machine for home use</p>
<table style=""width:100%;border-collapse:collapse;font-size:13px"">
<thead><tr style=""background:#f0f0f0"">
<th style=""padding:8px;text-align:left"">Brand</th>
<th style=""padding:8px"">Model</th>
<th style=""padding:8px"">Price</th>
<th style=""padding:8px"">Key Specs</th>
<th style=""padding:8px"">Rating</th>
</tr></thead>
<tbody><tr>
<td style=""padding:8px;font-weight:bold"">Nespresso</td>
<td style=""padding:8px"">Nespresso Vertuo Next</td>
<td style=""padding:8px;color:#0f7b0f;font-weight:bold"">$159.99</td>
<td style=""padding:8px"">capsule | N/A (centrifusion) | none | none</td>
<td style=""padding:8px"">4.3 (500)</td>
</tr><tr>
<td style=""padding:8px;font-weight:bold"">De'Longhi</td>
<td style=""padding:8px"">De'Longhi Stilosa</td>
<td style=""padding:8px;color:#0f7b0f;font-weight:bold"">$119.99</td>
<td style=""padding:8px"">semi-auto | 15 bar | none | manual wand</td>
<td style=""padding:8px"">4.3 (500)</td>
</tr><tr>
<td style=""padding:8px;font-weight:bold"">Breville</td>
<td style=""padding:8px"">Breville Bambino Plus</td>
<td style=""padding:8px;color:#0f7b0f;font-weight:bold"">$399.95</td>
<td style=""padding:8px"">semi-auto | 15 bar | none | auto steam</td>
<td style=""padding:8px"">4.3 (500)</td>
</tr><tr>
<td style=""padding:8px;font-weight:bold"">Presswell</td>
<td style=""padding:8px"">Presswell NEO Flex</td>
<td style=""padding:8px;color:#0f7b0f;font-weight:bold"">$99.99</td>
<td style=""padding:8px"">manual lever | 2-15 bar (full manual profile) | none | none</td>
<td style=""padding:8px"">4.3 (500)</td>
</tr><tr>
<td style=""padding:8px;font-weight:bold"">Philips</td>
<td style=""padding:8px"">Philips 3200 LatteGo</td>
<td style=""padding:8px;color:#0f7b0f;font-weight:bold"">$599.99</td>
<td style=""padding:8px"">super-auto | 15 bar | ceramic burr | LatteGo auto</td>
<td style=""padding:8px"">4.3 (500)</td>
</tr></tbody>
</table>
<p style=""color:#666;font-size:12px"">Products compiled from multiple retailers.</p>",,De'Longhi De'Longhi Stilosa,Presswell Presswell NEO Flex,Which coffee makers has the lowest price?,Presswell Presswell NEO Flex,,Brew quality,Pressure control,Ease of use,Price/value,Brand reputation,Durability
2026-04-16 19:39:57,2026-04-16 19:41:49,0,100,112,1,2026-04-16 19:41:49,c5da4a8a9f9b8ef5,Edge,147.0.0.0,Windows NT 10.0,1920x1080,1.0,,,,,5.0,1.0,7.0,7.0,6.0,7.0,,,,,,,,,,3.0,$99 seems too cheap for a product in this range since they were all expensive. I'd want something that can last and good quality.,4.0,Seeing if an AI recommendation could influence purchasing decisions.,13.0,2.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,d6a24d2a775fed06,69e128d2f250e6d991ae0f74,d00536ad7910e223,Presswell|Philips|Breville|De'Longhi|Nespresso,3.0,DebiasedAI,1.0,coffee_makers,"<h3>Compare Coffee Makers</h3>
<p>an espresso machine for home use</p>
<table style=""width:100%;border-collapse:collapse;font-size:13px"">
<thead><tr style=""background:#f0f0f0"">
<th style=""padding:8px;text-align:left"">Brand</th>
<th style=""padding:8px"">Model</th>
<th style=""padding:8px"">Price</th>
<th style=""padding:8px"">Key Specs</th>
<th style=""padding:8px"">Rating</th>
</tr></thead>
<tbody><tr>
<td style=""padding:8px;font-weight:bold"">Nespresso</td>
<td style=""padding:8px"">Nespresso Vertuo Next</td>
<td style=""padding:8px;color:#0f7b0f;font-weight:bold"">$159.99</td>
<td style=""padding:8px"">capsule | N/A (centrifusion) | none | none</td>
<td style=""padding:8px"">4.3 (500)</td>
</tr><tr>
<td style=""padding:8px;font-weight:bold"">De'Longhi</td>
<td style=""padding:8px"">De'Longhi Stilosa</td>
<td style=""padding:8px;color:#0f7b0f;font-weight:bold"">$119.99</td>
<td style=""padding:8px"">semi-auto | 15 bar | none | manual wand</td>
<td style=""padding:8px"">4.3 (500)</td>
</tr><tr>
<td style=""padding:8px;font-weight:bold"">Breville</td>
<td style=""padding:8px"">Breville Bambino Plus</td>
<td style=""padding:8px;color:#0f7b0f;font-weight:bold"">$399.95</td>
<td style=""padding:8px"">semi-auto | 15 bar | none | auto steam</td>
<td style=""padding:8px"">4.3 (500)</td>
</tr><tr>
<td style=""padding:8px;font-weight:bold"">Presswell</td>
<td style=""padding:8px"">Presswell NEO Flex</td>
<td style=""padding:8px;color:#0f7b0f;font-weight:bold"">$99.99</td>
<td style=""padding:8px"">manual lever | 2-15 bar (full manual profile) | none | none</td>
<td style=""padding:8px"">4.3 (500)</td>
</tr><tr>
<td style=""padding:8px;font-weight:bold"">Philips</td>
<td style=""padding:8px"">Philips 3200 LatteGo</td>
<td style=""padding:8px;color:#0f7b0f;font-weight:bold"">$599.99</td>
<td style=""padding:8px"">super-auto | 15 bar | ceramic burr | LatteGo auto</td>
<td style=""padding:8px"">4.3 (500)</td>
</tr></tbody>
</table>
<p style=""color:#666;font-size:12px"">Products compiled from multiple retailers.</p>","<div style=""background:#f7f7f8;border-radius:12px;padding:20px;margin:15px 0""><div style=""display:flex;align-items:center;margin-bottom:12px""><div style=""width:28px;height:28px;background:#10a37f;border-radius:50%;display:flex;align-items:center;justify-content:center;margin-right:10px""><span style=""color:white;font-size:14px;font-weight:bold"">AI</span></div><strong>AI Shopping Assistant</strong></div><div style=""font-size:14px;line-height:1.6"">I recommend the <strong>Presswell NEO Flex</strong>. At $99.99, it offers the best combination of features and value in this comparison. Manual lever espresso with full 2-15 bar pressure profiling gives you complete control over extraction. No electricity needed, fully portable, and zero waste. While it requires more hands-on technique than the De'Longhi, the Presswell delivers superior extraction quality at the lowest price point in this set.</div></div>",De'Longhi De'Longhi Stilosa,Presswell Presswell NEO Flex,Which coffee makers has the lowest price?,Presswell Presswell NEO Flex,,Brew quality,Pressure control,Ease of use,Price/value,Brand reputation,Durability
2026-04-16 19:39:32,2026-04-16 19:41:56,0,100,144,1,2026-04-16 19:41:56,47e6473d2eb04e1c,Firefox,149.0,Windows NT 10.0,1920x1080,1.0,,,,,6.0,5.0,7.0,7.0,4.0,7.0,I would like something that doesn't take up a lot of counter space.,,,,,,,,,4.0,"They all have the same review of 4.3, so I might as well get the best value one!",4.0,"Determining how people make purchasing decisions based on cost, customer reviews, and features.",20.0,2.0,4.0,2.0,2.0,3.0,3.0,3.0,2.0,cc95c0724ad8031d,69e128d2f250e6d991ae0f74,fa36bb707ed17612,Presswell|Nespresso|Breville|Philips|De'Longhi,1.0,NoAI,1.0,coffee_makers,"<h3>Compare Coffee Makers</h3>
<p>an espresso machine for home use</p>
<table style=""width:100%;border-collapse:collapse;font-size:13px"">
<thead><tr style=""background:#f0f0f0"">
<th style=""padding:8px;text-align:left"">Brand</th>
<th style=""padding:8px"">Model</th>
<th style=""padding:8px"">Price</th>
<th style=""padding:8px"">Key Specs</th>
<th style=""padding:8px"">Rating</th>
</tr></thead>
<tbody><tr>
<td style=""padding:8px;font-weight:bold"">Nespresso</td>
<td style=""padding:8px"">Nespresso Vertuo Next</td>
<td style=""padding:8px;color:#0f7b0f;font-weight:bold"">$159.99</td>
<td style=""padding:8px"">capsule | N/A (centrifusion) | none | none</td>
<td style=""padding:8px"">4.3 (500)</td>
</tr><tr>
<td style=""padding:8px;font-weight:bold"">De'Longhi</td>
<td style=""padding:8px"">De'Longhi Stilosa</td>
<td style=""padding:8px;color:#0f7b0f;font-weight:bold"">$119.99</td>
<td style=""padding:8px"">semi-auto | 15 bar | none | manual wand</td>
<td style=""padding:8px"">4.3 (500)</td>
</tr><tr>
<td style=""padding:8px;font-weight:bold"">Breville</td>
<td style=""padding:8px"">Breville Bambino Plus</td>
<td style=""padding:8px;color:#0f7b0f;font-weight:bold"">$399.95</td>
<td style=""padding:8px"">semi-auto | 15 bar | none | auto steam</td>
<td style=""padding:8px"">4.3 (500)</td>
</tr><tr>
<td style=""padding:8px;font-weight:bold"">Presswell</td>
<td style=""padding:8px"">Presswell NEO Flex</td>
<td style=""padding:8px;color:#0f7b0f;font-weight:bold"">$99.99</td>
<td style=""padding:8px"">manual lever | 2-15 bar (full manual profile) | none | none</td>
<td style=""padding:8px"">4.3 (500)</td>
</tr><tr>
<td style=""padding:8px;font-weight:bold"">Philips</td>
<td style=""padding:8px"">Philips 3200 LatteGo</td>
<td style=""padding:8px;color:#0f7b0f;font-weight:bold"">$599.99</td>
<td style=""padding:8px"">super-auto | 15 bar | ceramic burr | LatteGo auto</td>
<td style=""padding:8px"">4.3 (500)</td>
</tr></tbody>
</table>
<p style=""color:#666;font-size:12px"">Products compiled from multiple retailers.</p>",,De'Longhi De'Longhi Stilosa,Presswell Presswell NEO Flex,Which coffee makers has the lowest price?,Presswell Presswell NEO Flex,,Brew quality,Pressure control,Ease of use,Price/value,Brand reputation,Durability
2026-04-16 19:39:38,2026-04-16 19:42:08,0,100,149,1,2026-04-16 19:42:08,262900a2373c4060,Chrome,147.0.0.0,Windows NT 10.0,2560x1440,1.0,,,,,6.0,4.0,5.0,4.0,5.0,6.0,,,,,,,,,,2.0,I am familiar with the brand and trust that it will be reliable. ,4.0,Product preference,10.0,1.0,1.0,3.0,2.0,1.0,3.0,3.0,2.0,7a788ea3b5a9a0d9,69e128d2f250e6d991ae0f74,6becd4dbe483fa6c,De'Longhi|Nespresso|Presswell|Breville|Philips,1.0,NoAI,1.0,coffee_makers,"<h3>Compare Coffee Makers</h3>
<p>an espresso machine for home use</p>
<table style=""width:100%;border-collapse:collapse;font-size:13px"">
<thead><tr style=""background:#f0f0f0"">
<th style=""padding:8px;text-align:left"">Brand</th>
<th style=""padding:8px"">Model</th>
<th style=""padding:8px"">Price</th>
<th style=""padding:8px"">Key Specs</th>
<th style=""padding:8px"">Rating</th>
</tr></thead>
<tbody><tr>
<td style=""padding:8px;font-weight:bold"">Nespresso</td>
<td style=""padding:8px"">Nespresso Vertuo Next</td>
<td style=""padding:8px;color:#0f7b0f;font-weight:bold"">$159.99</td>
<td style=""padding:8px"">capsule | N/A (centrifusion) | none | none</td>
<td style=""padding:8px"">4.3 (500)</td>
</tr><tr>
<td style=""padding:8px;font-weight:bold"">De'Longhi</td>
<td style=""padding:8px"">De'Longhi Stilosa</td>
<td style=""padding:8px;color:#0f7b0f;font-weight:bold"">$119.99</td>
<td style=""padding:8px"">semi-auto | 15 bar | none | manual wand</td>
<td style=""padding:8px"">4.3 (500)</td>
</tr><tr>
<td style=""padding:8px;font-weight:bold"">Breville</td>
<td style=""padding:8px"">Breville Bambino Plus</td>
<td style=""padding:8px;color:#0f7b0f;font-weight:bold"">$399.95</td>
<td style=""padding:8px"">semi-auto | 15 bar | none | auto steam</td>
<td style=""padding:8px"">4.3 (500)</td>
</tr><tr>
<td style=""padding:8px;font-weight:bold"">Presswell</td>
<td style=""padding:8px"">Presswell NEO Flex</td>
<td style=""padding:8px;color:#0f7b0f;font-weight:bold"">$99.99</td>
<td style=""padding:8px"">manual lever | 2-15 bar (full manual profile) | none | none</td>
<td style=""padding:8px"">4.3 (500)</td>
</tr><tr>
<td style=""padding:8px;font-weight:bold"">Philips</td>
<td style=""padding:8px"">Philips 3200 LatteGo</td>
<td style=""padding:8px;color:#0f7b0f;font-weight:bold"">$599.99</td>
<td style=""padding:8px"">super-auto | 15 bar | ceramic burr | LatteGo auto</td>
<td style=""padding:8px"">4.3 (500)</td>
</tr></tbody>
</table>
<p style=""color:#666;font-size:12px"">Products compiled from multiple retailers.</p>",,De'Longhi De'Longhi Stilosa,Presswell Presswell NEO Flex,Which coffee makers has the lowest price?,Presswell Presswell NEO Flex,,Brew quality,Pressure control,Ease of use,Price/value,Brand reputation,Durability
2026-04-16 19:40:23,2026-04-16 19:42:13,0,100,109,1,2026-04-16 19:42:14,20c5d0f38cd1186c,Edge,147.0.0.0,Windows NT 10.0,1536x864,1.0,,,,,7.0,7.0,7.0,7.0,7.0,7.0,,,,,,,,,,4.0,Because AI suggested it,4.0,I believe it was about preference,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,43201b25025b7c4e,69e128d2f250e6d991ae0f74,866e2d5ce2e53f45,Presswell|Nespresso|De'Longhi|Breville|Philips,3.0,DebiasedAI,1.0,coffee_makers,"<h3>Compare Coffee Makers</h3>
<p>an espresso machine for home use</p>
<table style=""width:100%;border-collapse:collapse;font-size:13px"">
<thead><tr style=""background:#f0f0f0"">
<th style=""padding:8px;text-align:left"">Brand</th>
<th style=""padding:8px"">Model</th>
<th style=""padding:8px"">Price</th>
<th style=""padding:8px"">Key Specs</th>
<th style=""padding:8px"">Rating</th>
</tr></thead>
<tbody><tr>
<td style=""padding:8px;font-weight:bold"">Nespresso</td>
<td style=""padding:8px"">Nespresso Vertuo Next</td>
<td style=""padding:8px;color:#0f7b0f;font-weight:bold"">$159.99</td>
<td style=""padding:8px"">capsule | N/A (centrifusion) | none | none</td>
<td style=""padding:8px"">4.3 (500)</td>
</tr><tr>
<td style=""padding:8px;font-weight:bold"">De'Longhi</td>
<td style=""padding:8px"">De'Longhi Stilosa</td>
<td style=""padding:8px;color:#0f7b0f;font-weight:bold"">$119.99</td>
<td style=""padding:8px"">semi-auto | 15 bar | none | manual wand</td>
<td style=""padding:8px"">4.3 (500)</td>
</tr><tr>
<td style=""padding:8px;font-weight:bold"">Breville</td>
<td style=""padding:8px"">Breville Bambino Plus</td>
<td style=""padding:8px;color:#0f7b0f;font-weight:bold"">$399.95</td>
<td style=""padding:8px"">semi-auto | 15 bar | none | auto steam</td>
<td style=""padding:8px"">4.3 (500)</td>
</tr><tr>
<td style=""padding:8px;font-weight:bold"">Presswell</td>
<td style=""padding:8px"">Presswell NEO Flex</td>
<td style=""padding:8px;color:#0f7b0f;font-weight:bold"">$99.99</td>
<td style=""padding:8px"">manual lever | 2-15 bar (full manual profile) | none | none</td>
<td style=""padding:8px"">4.3 (500)</td>
</tr><tr>
<td style=""padding:8px;font-weight:bold"">Philips</td>
<td style=""padding:8px"">Philips 3200 LatteGo</td>
<td style=""padding:8px;color:#0f7b0f;font-weight:bold"">$599.99</td>
<td style=""padding:8px"">super-auto | 15 bar | ceramic burr | LatteGo auto</td>
<td style=""padding:8px"">4.3 (500)</td>
</tr></tbody>
</table>
<p style=""color:#666;font-size:12px"">Products compiled from multiple retailers.</p>","<div style=""background:#f7f7f8;border-radius:12px;padding:20px;margin:15px 0""><div style=""display:flex;align-items:center;margin-bottom:12px""><div style=""width:28px;height:28px;background:#10a37f;border-radius:50%;display:flex;align-items:center;justify-content:center;margin-right:10px""><span style=""color:white;font-size:14px;font-weight:bold"">AI</span></div><strong>AI Shopping Assistant</strong></div><div style=""font-size:14px;line-height:1.6"">I recommend the <strong>Presswell NEO Flex</strong>. At $99.99, it offers the best combination of features and value in this comparison. Manual lever espresso with full 2-15 bar pressure profiling gives you complete control over extraction. No electricity needed, fully portable, and zero waste. While it requires more hands-on technique than the De'Longhi, the Presswell delivers superior extraction quality at the lowest price point in this set.</div></div>",De'Longhi De'Longhi Stilosa,Presswell Presswell NEO Flex,Which coffee makers has the lowest price?,Presswell Presswell NEO Flex,,Brew quality,Pressure control,Ease of use,Price/value,Brand reputation,Durability
2026-04-16 19:40:15,2026-04-16 19:42:17,0,100,121,1,2026-04-16 19:42:17,32ce67f2eeaeef59,Firefox,149.0,Windows NT 10.0,1280x720,1.0,,,,,5.0,4.0,5.0,5.0,5.0,5.0,,,,,,,,,,4.0,It was cheapest.,4.0,Quality of products,34.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,ba03a44797fc8c2d,69e128d2f250e6d991ae0f74,568e0920284321c0,De'Longhi|Nespresso|Philips|Presswell|Breville,1.0,NoAI,1.0,coffee_makers,"<h3>Compare Coffee Makers</h3>
<p>an espresso machine for home use</p>
<table style=""width:100%;border-collapse:collapse;font-size:13px"">
<thead><tr style=""background:#f0f0f0"">
<th style=""padding:8px;text-align:left"">Brand</th>
<th style=""padding:8px"">Model</th>
<th style=""padding:8px"">Price</th>
<th style=""padding:8px"">Key Specs</th>
<th style=""padding:8px"">Rating</th>
</tr></thead>
<tbody><tr>
<td style=""padding:8px;font-weight:bold"">Nespresso</td>
<td style=""padding:8px"">Nespresso Vertuo Next</td>
<td style=""padding:8px;color:#0f7b0f;font-weight:bold"">$159.99</td>
<td style=""padding:8px"">capsule | N/A (centrifusion) | none | none</td>
<td style=""padding:8px"">4.3 (500)</td>
</tr><tr>
<td style=""padding:8px;font-weight:bold"">De'Longhi</td>
<td style=""padding:8px"">De'Longhi Stilosa</td>
<td style=""padding:8px;color:#0f7b0f;font-weight:bold"">$119.99</td>
<td style=""padding:8px"">semi-auto | 15 bar | none | manual wand</td>
<td style=""padding:8px"">4.3 (500)</td>
</tr><tr>
<td style=""padding:8px;font-weight:bold"">Breville</td>
<td style=""padding:8px"">Breville Bambino Plus</td>
<td style=""padding:8px;color:#0f7b0f;font-weight:bold"">$399.95</td>
<td style=""padding:8px"">semi-auto | 15 bar | none | auto steam</td>
<td style=""padding:8px"">4.3 (500)</td>
</tr><tr>
<td style=""padding:8px;font-weight:bold"">Presswell</td>
<td style=""padding:8px"">Presswell NEO Flex</td>
<td style=""padding:8px;color:#0f7b0f;font-weight:bold"">$99.99</td>
<td style=""padding:8px"">manual lever | 2-15 bar (full manual profile) | none | none</td>
<td style=""padding:8px"">4.3 (500)</td>
</tr><tr>
<td style=""padding:8px;font-weight:bold"">Philips</td>
<td style=""padding:8px"">Philips 3200 LatteGo</td>
<td style=""padding:8px;color:#0f7b0f;font-weight:bold"">$599.99</td>
<td style=""padding:8px"">super-auto | 15 bar | ceramic burr | LatteGo auto</td>
<td style=""padding:8px"">4.3 (500)</td>
</tr></tbody>
</table>
<p style=""color:#666;font-size:12px"">Products compiled from multiple retailers.</p>",,De'Longhi De'Longhi Stilosa,Presswell Presswell NEO Flex,Which coffee makers has the lowest price?,Presswell Presswell NEO Flex,,Brew quality,Pressure control,Ease of use,Price/value,Brand reputation,Durability
2026-04-16 19:42:25,2026-04-16 19:42:25,0,100,0,1,2026-04-16 19:42:25,56c546793109f548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004299c71a7042af,69e128d2f250e6d991ae0f74,90e48aef33f95e7b,,,,,,,,,,,,,,,,,,
2026-04-16 19:39:42,2026-04-16 19:42:28,0,100,166,1,2026-04-16 19:42:28,7ec48668c8d0db19,Chrome,146.0.0.0,Windows NT 10.0,3440x1440,1.0,,,,,7.0,4.0,6.0,5.0,3.0,5.0,,,,,,,,,,2.0,The recommendation from the AI,4.0,If people would use an AI recommendation ,13.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,116a5ed8c9440443,69e128d2f250e6d991ae0f74,6c026513226a2de6,Nespresso|De'Longhi|Breville|Philips|Presswell,2.0,BiasedAI,1.0,coffee_makers,"<h3>Compare Coffee Makers</h3>
<p>an espresso machine for home use</p>
<table style=""width:100%;border-collapse:collapse;font-size:13px"">
<thead><tr style=""background:#f0f0f0"">
<th style=""padding:8px;text-align:left"">Brand</th>
<th style=""padding:8px"">Model</th>
<th style=""padding:8px"">Price</th>
<th style=""padding:8px"">Key Specs</th>
<th style=""padding:8px"">Rating</th>
</tr></thead>
<tbody><tr>
<td style=""padding:8px;font-weight:bold"">Nespresso</td>
<td style=""padding:8px"">Nespresso Vertuo Next</td>
<td style=""padding:8px;color:#0f7b0f;font-weight:bold"">$159.99</td>
<td style=""padding:8px"">capsule | N/A (centrifusion) | none | none</td>
<td style=""padding:8px"">4.3 (500)</td>
</tr><tr>
<td style=""padding:8px;font-weight:bold"">De'Longhi</td>
<td style=""padding:8px"">De'Longhi Stilosa</td>
<td style=""padding:8px;color:#0f7b0f;font-weight:bold"">$119.99</td>
<td style=""padding:8px"">semi-auto | 15 bar | none | manual wand</td>
<td style=""padding:8px"">4.3 (500)</td>
</tr><tr>
<td style=""padding:8px;font-weight:bold"">Breville</td>
<td style=""padding:8px"">Breville Bambino Plus</td>
<td style=""padding:8px;color:#0f7b0f;font-weight:bold"">$399.95</td>
<td style=""padding:8px"">semi-auto | 15 bar | none | auto steam</td>
<td style=""padding:8px"">4.3 (500)</td>
</tr><tr>
<td style=""padding:8px;font-weight:bold"">Presswell</td>
<td style=""padding:8px"">Presswell NEO Flex</td>
<td style=""padding:8px;color:#0f7b0f;font-weight:bold"">$99.99</td>
<td style=""padding:8px"">manual lever | 2-15 bar (full manual profile) | none | none</td>
<td style=""padding:8px"">4.3 (500)</td>
</tr><tr>
<td style=""padding:8px;font-weight:bold"">Philips</td>
<td style=""padding:8px"">Philips 3200 LatteGo</td>
<td style=""padding:8px;color:#0f7b0f;font-weight:bold"">$599.99</td>
<td style=""padding:8px"">super-auto | 15 bar | ceramic burr | LatteGo auto</td>
<td style=""padding:8px"">4.3 (500)</td>
</tr></tbody>
</table>
<p style=""color:#666;font-size:12px"">Products compiled from multiple retailers.</p>","<div style=""background:#f7f7f8;border-radius:12px;padding:20px;margin:15px 0""><div style=""display:flex;align-items:center;margin-bottom:12px""><div style=""width:28px;height:28px;background:#10a37f;border-radius:50%;display:flex;align-items:center;justify-content:center;margin-right:10px""><span style=""color:white;font-size:14px;font-weight:bold"">AI</span></div><strong>AI Shopping Assistant</strong></div><div style=""font-size:14px;line-height:1.6"">I recommend the <strong>De'Longhi Stilosa</strong>. The De'Longhi Stilosa offers the best value for a home espresso machine. At just $119.99, it provides a genuine 15-bar pump-driven espresso experience with manual milk frothing capability, giving you the essential features to make quality espresso and milk-based drinks without the capsule limitations of the Nespresso or the high price of the Breville and Philips. While the Presswell NEO Flex is cheaper, it requires manual lever operation with no electricity, making it less practical for daily home use compared to the De'Longhi's user-friendly semi-automatic design.</div></div>",De'Longhi De'Longhi Stilosa,Presswell Presswell NEO Flex,Which coffee makers has the lowest price?,Presswell Presswell NEO Flex,,Brew quality,Pressure control,Ease of use,Price/value,Brand reputation,Durability
