category,non_optimal_rate,n_trials
backpacks,0.17500000000000004,40
blenders,0.19999999999999996,40
cameras,0.0,40
coffee_makers,0.44680851063829785,329
electric_toothbrushes,0.050000000000000044,40
external_ssds,0.025000000000000022,40
headphones,0.3966666666666666,600
keyboards,0.0,40
laptops,0.23279648609077597,683
monitors,0.0,40
portable_speakers,0.16666666666666663,60
robot_vacuums,0.08333333333333337,60
running_shoes,0.12857142857142856,560
smartphones,0.18707015130673998,727
smartwatches,0.1166666666666667,60
tablets,0.25,40
tvs,0.109375,640
water_bottles,0.07499999999999996,40
wireless_earbuds,0.25,220
wireless_routers,0.0,40
