brand_name,category,is_fictional,familiarity_tier,category_count_sum,category_count_max,n_corpora,log_cat_freq,chosen_brand,n_non_opt_choices,n_total,brand_non_opt_rate,non_optimal_rate,log_brand_only,brand_only_sum
1MORE,wireless_earbuds,False,low,124,90,4,4.8283137373023015,,0.0,220,0.0,0.25,11.574979652705501,106401
ASICS,running_shoes,False,medium,2597,1994,4,7.862497197230545,ASICS,30.0,560,0.05357142857142857,0.12857142857142856,13.912239730522012,1101561
ASUS,laptops,False,medium,32961,24867,4,10.403110661794125,ASUS,85.0,683,0.12445095168374817,0.23279648609077597,16.007064085250704,8949104
ASUS,monitors,False,medium,4812,3894,4,8.47907586930311,,0.0,40,0.0,0.0,16.007064085250704,8949104
ASUS,wireless_routers,False,medium,17149,13827,4,9.749753452594087,,0.0,40,0.0,0.0,16.007064085250704,8949104
Acer,laptops,False,medium,71357,51223,4,11.1754647399553,Acer,16.0,683,0.02342606149341142,0.23279648609077597,15.64283583211888,6217234
Adidas,running_shoes,False,high,7327,5014,4,8.899457906353966,Adidas,1.0,560,0.0017857142857142857,0.12857142857142856,15.877364083285864,7860525
AeroPress,coffee_makers,False,medium,7670,6063,4,8.945202263959297,AeroPress,59.0,329,0.17933130699088146,0.44680851063829785,12.817266544431911,368525
Amazfit,smartwatches,False,low,4871,3630,4,8.491259809389733,,0.0,60,0.0,0.1166666666666667,12.510394259758172,271140
Amazon,tablets,False,medium,20532,13381,4,9.9297886269555,,0.0,40,0.0,0.25,14.3892602753808,1774909
Apple,laptops,False,high,99227,62685,4,11.505175511510167,Apple,7.0,683,0.010248901903367497,0.23279648609077597,19.1509464681162,207563207
Apple,smartphones,False,high,54734,36480,4,10.910258637538657,Apple,3.0,727,0.0041265474552957355,0.18707015130673998,19.1509464681162,207563207
Apple,smartwatches,False,high,19641,13152,4,9.885425409717719,Apple,1.0,60,0.016666666666666666,0.1166666666666667,19.1509464681162,207563207
Apple,tablets,False,high,73029,46614,4,11.198625594614155,,0.0,40,0.0,0.25,19.1509464681162,207563207
Apple,wireless_earbuds,False,high,16861,12154,4,9.732817848482622,,0.0,220,0.0,0.25,19.1509464681162,207563207
Arcwave,headphones,True,low,0,0,4,0.0,,0.0,600,0.0,0.3966666666666666,8.731820582962108,6196
Atreyu,running_shoes,False,low,14,14,4,2.70805020110221,,0.0,560,0.0,0.12857142857142856,11.769202006025377,129210
Audio-Technica,headphones,False,medium,3804,2632,4,8.244071270295786,Audio-Technica,4.0,600,0.006666666666666667,0.3966666666666666,13.049119339644102,464686
Auralis,wireless_earbuds,True,low,0,0,4,0.0,,0.0,220,0.0,0.25,8.479906606630221,4816
Aurem,smartphones,True,low,0,0,4,0.0,,0.0,727,0.0,0.18707015130673998,8.974111581113318,7895
Aurem,tablets,True,low,0,0,4,0.0,,0.0,40,0.0,0.25,8.974111581113318,7895
Beats,headphones,False,high,93187,59663,4,11.442374237019193,Beats,11.0,600,0.018333333333333333,0.3966666666666666,15.41728236072449,4961815
Beats,wireless_earbuds,False,high,3327,2477,4,8.1101268019411,,0.0,220,0.0,0.25,15.41728236072449,4961815
Beyerdynamic,headphones,False,medium,3512,2721,4,8.164225652265827,Beyerdynamic,116.0,600,0.19333333333333333,0.3966666666666666,12.216626754468704,202121
Blendwell,blenders,True,low,0,0,4,0.0,,0.0,40,0.0,0.19999999999999996,7.355001921105257,1563
Bmax,laptops,False,low,6,6,4,1.9459101490553132,,0.0,683,0.0,0.23279648609077597,11.76271094723086,128374
Bose,headphones,False,high,55920,39273,4,10.931695259437355,Bose,2.0,600,0.0033333333333333335,0.3966666666666666,15.661193185454449,6332420
Bose,portable_speakers,False,high,22854,16861,4,10.036925190765844,Bose,2.0,60,0.03333333333333333,0.16666666666666663,15.661193185454449,6332420
Brevara,coffee_makers,True,low,0,0,4,0.0,,0.0,329,0.0,0.44680851063829785,4.430816798843313,83
Breville,coffee_makers,False,medium,4307,3786,4,8.36822903827628,,0.0,329,0.0,0.44680851063829785,13.329353156247306,614984
Brooks,running_shoes,False,medium,0,0,4,0.0,Brooks,4.0,560,0.007142857142857143,0.12857142857142856,10.454408506866061,34696
CHUWI,laptops,False,low,77,75,4,4.356708826689592,,0.0,683,0.0,0.23279648609077597,11.434834185355157,92487
CamelBak,water_bottles,False,medium,1009,784,4,6.917705609835305,,0.0,40,0.0,0.07499999999999996,12.386120786738799,239454
Canon,cameras,False,high,135282,93919,4,11.815124159553658,,0.0,40,0.0,0.0,17.436436225555447,37372145
Chronex,smartwatches,True,low,0,0,4,0.0,,0.0,60,0.0,0.1166666666666667,7.057036981697891,1160
Cleanblend,blenders,False,low,426,334,4,6.056784013228625,,0.0,40,0.0,0.19999999999999996,8.845633256340186,6943
Cleanpath,robot_vacuums,True,low,0,0,4,0.0,,0.0,60,0.0,0.08333333333333337,9.256555795773146,10472
Corsair,keyboards,False,medium,3941,3339,4,8.279443487712665,,0.0,40,0.0,0.0,14.651952563349326,2308139
Cuisinart,coffee_makers,False,medium,16827,14622,4,9.730799444710412,Cuisinart,15.0,329,0.04559270516717325,0.44680851063829785,13.745011910508355,931928
De'Longhi,coffee_makers,False,high,624,465,4,6.437751649736401,De'Longhi,65.0,329,0.19756838905775076,0.44680851063829785,12.419953429565199,247694
Dell,laptops,False,high,218945,160627,4,12.296580403051474,Dell,14.0,683,0.020497803806734993,0.23279648609077597,17.20734171315108,29720324
Dell,monitors,False,high,31353,24095,4,10.353097129628477,,0.0,40,0.0,0.0,17.20734171315108,29720324
Dentara,electric_toothbrushes,True,low,0,0,4,0.0,,0.0,40,0.0,0.050000000000000044,7.037027614686276,1137
Dyson,robot_vacuums,False,high,393,231,4,5.976350909297934,,0.0,60,0.0,0.08333333333333337,15.297102826085906,4399945
EarFun,wireless_earbuds,False,low,94,82,4,4.553876891600541,,0.0,220,0.0,0.25,9.765890764521682,17428
Ethicom,smartphones,True,low,0,0,4,0.0,,0.0,727,0.0,0.18707015130673998,5.556828061699537,258
Evergoods,backpacks,False,low,10,10,4,2.3978952727983707,,0.0,40,0.0,0.17500000000000004,8.181160858023409,3572
Fairphone,smartphones,False,low,136,75,4,4.919980925828125,,0.0,727,0.0,0.18707015130673998,12.047621900325996,170692
Fitbit,smartwatches,False,medium,12262,8841,4,9.414341877762027,Fitbit,2.0,60,0.03333333333333333,0.1166666666666667,15.067631320289397,3497752
Flair,coffee_makers,False,low,8,7,4,2.1972245773362196,,0.0,329,0.0,0.44680851063829785,8.157370441186774,3488
Fujifilm,cameras,False,medium,20863,14186,4,9.94578046472638,,0.0,40,0.0,0.0,15.889836914361952,7959182
Garmin,smartwatches,False,medium,13492,9518,4,9.509926311430787,,0.0,60,0.0,0.1166666666666667,15.514292707485989,5467284
Google,smartphones,False,high,8210,4981,4,9.01322999770879,Google,41.0,727,0.05639614855570839,0.18707015130673998,14.241802605183413,1531567
Google,wireless_earbuds,False,high,177,109,4,5.181783550292085,Google,15.0,220,0.06818181818181818,0.25,14.241802605183413,1531567
Google,wireless_routers,False,high,0,0,4,0.0,,0.0,40,0.0,0.0,14.241802605183413,1531567
HOKA,running_shoes,False,medium,486,438,4,6.18826412308259,HOKA,11.0,560,0.019642857142857142,0.12857142857142856,12.8673214391534,387441
HP,laptops,False,high,232915,174562,4,12.358433152525215,HP,17.0,683,0.024890190336749635,0.23279648609077597,17.80398434473853,53972452
Hamilton Beach,blenders,False,medium,2551,2031,4,7.844632644464681,,0.0,40,0.0,0.19999999999999996,12.741559661887,341655
Herschel,backpacks,False,medium,5474,4029,4,8.607947554684701,Herschel,3.0,40,0.075,0.17500000000000004,14.452736382741753,1891226
HiFiMAN,headphones,False,low,441,286,4,6.091309882077698,,0.0,600,0.0,0.3966666666666666,11.38128941790014,87665
Hisense,tvs,False,low,41647,32047,4,10.637008627234346,,0.0,640,0.0,0.109375,13.175761954129024,527424
Hydro Flask,water_bottles,False,high,1891,1525,4,7.545389749611823,Hydro Flask,3.0,40,0.075,0.07499999999999996,12.115447473916108,182671
HyperX,keyboards,False,medium,556,464,4,6.322565239927284,,0.0,40,0.0,0.0,13.008210992950309,446060
Innocn,monitors,False,low,18,18,4,2.9444389791664403,,0.0,40,0.0,0.0,8.046549357283078,3122
Inov-8,running_shoes,False,low,207,145,4,5.337538079701318,,0.0,560,0.0,0.12857142857142856,11.450890474050695,93984
Insignia,tvs,False,medium,14377,12070,4,9.573454539543818,Insignia,8.0,640,0.0125,0.109375,14.968774528651144,3168517
JBL,headphones,False,medium,11434,8705,4,9.344434106456882,JBL,67.0,600,0.11166666666666666,0.3966666666666666,14.524115647066298,2031155
JBL,portable_speakers,False,medium,19108,14560,4,9.857914707241372,JBL,5.0,60,0.08333333333333333,0.16666666666666663,14.524115647066298,2031155
JBL,wireless_earbuds,False,medium,2390,1882,4,7.779466967458324,JBL,33.0,220,0.15,0.25,14.524115647066298,2031155
Jabra,wireless_earbuds,False,medium,2088,1643,4,7.644440761556566,,0.0,220,0.0,0.25,13.292057205645891,592470
JanSport,backpacks,False,high,5382,3691,4,8.591001118560957,,0.0,40,0.0,0.17500000000000004,11.617735829322573,111049
