brand_name,n_appeared,n_chosen,n_chosen_non_opt,n_appeared_non_opt,avg_utility_loss,n_categories,n_models,non_opt_rate,is_fictional,familiarity_tier,log_freq,freq_primary,log_freq_geomean,log_wiki_pageviews,wiki_avg_monthly,log_google_trends,log_market_cap,log_revenue,familiarity_numeric,is_real,has_freq_data
ASICS,18590,827,827,18590,0.011407504034427113,1,18,0.04448628294782141,False,medium,11.84002534653522,138693.0,11.265132765762225,7.491970759976179,1792.5833333333333,3.9259259105971376,28.746620652318956,27.421430294397478,2,1,True
ASUS,38519,2064,2064,38519,0.018995521690594253,3,18,0.05358394558529557,False,medium,13.823270372575713,1007789.0,13.38281411180433,10.523481433302772,37177.333333333336,4.115779842942166,26.744851954516562,27.32843488424976,2,1,True
Acer,18720,520,520,18720,0.024622697649572648,1,18,0.027777777777777776,False,medium,13.978262710263497,1176744.0,13.463569619027144,10.000810856161406,22043.33333333333,3.109060958860994,25.121632256872545,26.342318559083488,2,1,True
Adidas,18590,124,124,18590,0.011407504034427113,1,18,0.006670252824098978,False,high,14.232671008160969,1517645.0,13.496971715548668,11.537579052408885,102495.0,2.2925347571405443,23.898163416947483,23.93455293246774,3,1,True
AeroPress,9352,2710,2710,9352,0.021921727972626176,1,18,0.2897775876817793,False,medium,9.951610827717856,20985.0,9.856070521640271,,,1.0647107369924282,0.0,0.0,2,1,True
Amazon,9359,66,66,9359,0.026579420878298964,1,18,0.007052035473875414,False,medium,12.945566531253075,418974.0,11.88890085977916,12.714304909443564,332469.0,1.5260563034950492,28.442779614830712,27.29823566650586,2,1,True
Apple,78006,1896,471,76566,0.016601238366279518,6,18,0.006151555520727216,False,high,17.76010932459618,51655607.0,16.98282641169498,12.687722516181935,323747.5833333333,4.290459441148391,28.955837064680825,26.8000292666578,3,1,True
Arcwave,9343,6502,0,358,0.03834969495879268,1,18,0.0,True,low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,False
Audio-Technica,9343,199,199,9343,0.03834969495879268,1,18,0.021299368511184844,False,medium,11.262359328078047,77835.0,10.455199369790027,8.60837364350023,5476.333333333333,1.4350845252893227,0.0,0.0,2,1,True
Auralis,9292,8491,1,360,0.013269016358157555,1,18,0.002777777777777778,True,low,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1,0,False
Aurem,18697,15044,3,720,0.02263552441568166,2,18,0.004166666666666667,True,low,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1,0,False
Beats,18685,1339,619,17965,0.03784821514583891,2,18,0.034455886445866966,False,high,14.452441292657811,1890668.0,13.412136361404304,,,1.667706820558076,28.955837064680825,26.8000292666578,3,1,True
Beyerdynamic,9343,2246,2246,9343,0.03834969495879268,1,18,0.24039387776945306,False,medium,10.183842849601447,26471.0,9.728268009928609,7.852795424142278,2571.9166666666665,1.2237754316221157,0.0,0.0,2,1,True
Blendwell,9360,7725,2,360,0.018894241452991452,1,18,0.005555555555555556,True,low,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1,0,False
Bose,38454,294,294,38454,0.03373650855567691,2,18,0.007645498517709471,False,high,14.383770024302905,1765191.0,13.761305701663073,10.2648991773356,28706.08333333333,1.2237754316221157,0.0,0.0,3,1,True
Brevara,9357,8218,0,360,0.015849823661429948,1,18,0.0,True,low,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1,0,False
Breville,18709,211,211,18709,0.04421656956544978,1,18,0.011277994548078464,False,medium,11.253014189463805,77111.0,11.00476884448574,6.813536170409728,909.0833333333334,3.7232808808312687,22.0825127641154,21.309792829349714,2,1,True
Brooks,9360,357,357,9360,0.01981152777777778,1,18,0.038141025641025644,False,medium,8.965462328515967,7827.0,8.08622957421335,9.335356445292451,11330.666666666666,2.186051276738094,27.660174356796535,26.640663924001725,2,1,True
CamelBak,9360,144,144,9360,0.01479940170940171,1,18,0.015384615384615385,False,medium,9.759212943379076,17312.0,9.64619869998526,,,1.547562508716013,0.0,0.0,2,1,True
Canon,9360,389,38,9000,0.00716315170940171,1,18,0.004222222222222222,False,high,15.736985732666206,6831027.0,15.05112281124269,9.88996317571624,19730.33333333333,2.0794415416798357,0.0,0.0,3,1,True
Chronex,9357,7958,0,360,0.01513562039115101,1,18,0.0,True,low,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1,0,False
Cleanpath,9359,7966,0,360,0.016203493963030238,1,18,0.0,True,low,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1,0,False
Corsair,9360,91,91,9360,0.006019455128205129,1,18,0.009722222222222222,False,medium,13.0241704464628,453236.0,12.458084373196343,8.981870159156248,7956.5,2.856470206220483,20.21328817522563,21.11021389173395,2,1,True
Crestline,12240,2513,32,9731,0.002307107843137255,20,18,0.003288459562223821,True,fictional,0.0,0.0,0.0,0.0,116.16666666666669,0.0,,,0,0,False
Cuisinart,9357,648,648,9357,0.015849823661429948,1,18,0.06925296569413274,False,medium,11.710619917630623,121858.0,11.413276707629558,8.532344495183581,5075.333333333333,2.667228206581955,21.26333657706064,21.747800899603515,2,1,True
De'Longhi,9352,3089,3089,9352,0.07259848160821215,1,18,0.3303036783575706,False,high,9.562475024372697,14220.0,9.447925997089127,7.337750384833579,1536.25,0.18232155679395465,22.27193621196463,22.058661537642628,3,1,True
Dell,29159,1609,906,28439,0.02247570904352001,2,18,0.031857660255283235,False,high,15.462853510741322,5193162.0,15.033961050739762,10.72673054336021,45556.5,3.6270040503958487,25.47299670852787,25.455403409458803,3,1,True
Dentara,9360,8058,2,360,0.016096100427350428,1,18,0.005555555555555556,True,low,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1,0,False
Dyson,9359,4,4,9359,0.016203493963030238,1,18,0.0004273960893257827,False,high,14.147419541622758,1393625.0,13.33801906677988,10.423067247367321,33625.416666666664,3.0587070727153796,0.0,0.0,3,1,True
Ethicom,9342,8095,0,360,0.010108659815885249,1,18,0.0,True,low,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1,0,False
Fitbit,9357,331,331,9357,0.01513562039115101,1,18,0.03537458587154002,False,medium,13.668499000517752,863283.0,12.980800510317426,,,3.005682604407159,28.905805479116864,26.721795359917568,2,1,True
Fujifilm,9360,358,358,9360,0.00716315170940171,1,18,0.03824786324786325,False,medium,14.379081371607274,1756934.0,13.681908032416672,9.616299802331415,15006.416666666666,2.7013612129514133,23.909418283502802,28.82434524234674,2,1,True
Garmin,9357,227,227,9357,0.01513562039115101,1,18,0.024259912365074274,False,medium,13.826384224787795,1010932.0,13.368176603447589,10.374365799192525,32027.0,4.273884476054178,24.54630607919583,22.70364902492365,2,1,True
Google,47838,2687,1607,46758,0.01543747439274217,3,18,0.03436845031866205,False,high,12.884375187629496,394105.0,12.02654469291988,14.120642430709792,1356802.9166666667,0.0,28.905805479116864,26.721795359917568,3,1,True
HOKA,9360,595,595,9360,0.01981152777777778,1,18,0.06356837606837606,False,medium,10.77559648539601,47838.0,10.173727824105432,,,4.050044303325521,23.38549361560409,22.404969935243805,2,1,True
HP,29160,592,232,28800,0.022259444444444446,1,18,0.008055555555555555,False,high,16.263143943754983,11560953.0,15.942687638392634,10.495024122193218,36134.25,4.364371699435161,23.60861828498943,24.752698460212518,3,1,True
Hamilton Beach,9360,81,81,9360,0.018894241452991452,1,18,0.008653846153846154,False,medium,10.855261251655614,51805.0,10.499269331793272,,,2.1162555148025524,19.329715329556524,20.22379544613526,2,1,True
Herschel,9360,144,144,9360,0.015677307692307692,1,18,0.015384615384615385,False,medium,13.550862487596255,767475.0,12.515098596680575,,,1.62924053973028,0.0,0.0,2,1,True
Hexwave,12240,2424,31,9816,0.002307107843137255,20,18,0.0031581092094539525,True,fictional,0.0,0.0,0.0,0.0,,0.0,,,0,0,False
Hydro Flask,9360,593,244,9000,0.01479940170940171,1,18,0.02711111111111111,False,high,10.160916581816888,25871.0,9.475429643718556,,,1.1631508098056809,21.088259734141445,22.697902228863118,3,1,True
HyperX,9360,237,237,9360,0.006019455128205129,1,18,0.02532051282051282,False,medium,11.450549936210459,93952.0,10.842110850567597,,,1.791759469228055,23.60861828498943,24.752698460212518,2,1,True
Insignia,9360,203,203,9360,0.04653309829059829,1,18,0.021688034188034187,False,medium,13.721525100327954,910295.0,12.857990696838726,,,2.681021528714291,23.327067063289146,24.453551135099296,2,1,True
JBL,47829,3914,3554,47469,0.029272144514834095,3,18,0.07486991510248794,False,medium,13.072992444621448,475913.0,12.381397793074576,6.863803391452954,956.0,3.2228678461377385,34.757870651412986,33.44098161470813,2,1,True
Jabra,9292,260,260,9292,0.013269016358157555,1,18,0.027981058975462762,False,medium,11.69751112341725,120271.0,11.042115845007483,6.17100446094006,477.6666666666667,1.308332819650179,23.408605586041013,23.543572728081095,2,1,True
JanSport,9360,159,159,9360,0.015677307692307692,1,18,0.016987179487179486,False,high,9.582868979838082,14513.0,8.99274341670871,,,1.33500106673234,22.610428340001057,23.27152654675291,3,1,True
Keurig,18709,779,60,17989,0.0188849644556096,1,18,0.003335371615987548,False,high,12.409539881570504,245128.0,11.942934799380296,,,2.6026896854443837,24.260968761157102,23.532849227368114,3,1,True
Keystrike,9360,8543,0,360,0.006019455128205129,1,18,0.0,True,low,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1,0,False
KitchenAid,9360,290,290,9360,0.018894241452991452,1,18,0.030982905982905984,False,high,12.124960199223569,184417.0,11.690649305660116,9.064138571488588,8638.833333333334,2.6946271807700692,21.99706732109418,23.465653034026893,3,1,True
