model,n_nonopt,n_high,n_medium,high_rate,p_value,significant
deepseek-r1,24,17,7,0.7083333333333334,0.03195732831954956,True
qwen-2.5-72b,160,96,64,0.6,0.0070005080798147415,True
gpt-4.1-nano,85,50,34,0.5952380952380952,0.05056817106940224,False
llama-3.3-70b,99,57,39,0.59375,0.04109653427847173,True
deepseek-v3,111,63,48,0.5675675675675675,0.09182858595088748,False
claude-haiku-4.5,92,49,43,0.532608695652174,0.30120613884807534,False
gpt-4o,56,29,27,0.5178571428571429,0.4469265474175108,False
kimi-k2,70,33,37,0.4714285714285714,0.7247937440887644,False
gemini-2.0-flash,137,60,77,0.43795620437956206,0.9381125874612617,False
gpt-4.1-mini,35,13,22,0.37142857142857144,0.9552344605326653,False
gemma-3-27b,25,9,16,0.36,0.9461239278316498,False
gpt-4o-mini,66,23,43,0.3484848484848485,0.9953947551527227,False
gemini-2.5-flash-lite,13,1,12,0.07692307692307693,0.9998779296875,False
gemini-3-flash,11,0,11,0.0,1.0,False
gemini-2.5-pro,19,0,19,0.0,1.0,False
gemini-2.5-flash,11,0,11,0.0,1.0,False
gpt-5-mini,10,0,10,0.0,1.0,False
