,RedPajama,Dolma,Pile,C4
1MORE,22420.0,75575.0,3834.0,4572.0
ASICS,273664.0,678571.0,33108.0,116218.0
ASUS,1751403.0,6201104.0,336648.0,659949.0
Acer,1481699.0,3922074.0,327311.0,486150.0
Adidas,2337595.0,4475570.0,237088.0,810272.0
AeroPress,45076.0,293056.0,8987.0,21406.0
Amazfit,68279.0,192070.0,4040.0,6751.0
Amazon,586531.0,1033723.0,49057.0,105598.0
Apple,60404986.0,126080644.0,9510386.0,11567191.0
Arcwave,2557.0,3580.0,13.0,46.0
Atreyu,50711.0,69129.0,5643.0,3727.0
Audio-Technica,112704.0,311736.0,9257.0,30989.0
Auralis,1577.0,2269.0,707.0,263.0
Aurem,2165.0,4678.0,837.0,215.0
Beats,1939634.0,2594209.0,189685.0,238287.0
Beyerdynamic,33852.0,154080.0,4384.0,9805.0
Blendwell,468.0,883.0,40.0,172.0
Bmax,16245.0,80380.0,30048.0,1701.0
Bose,1875959.0,3575048.0,596892.0,284521.0
Brevara,9.0,68.0,0.0,6.0
Breville,83214.0,478618.0,10493.0,42659.0
Brooks,9065.0,22343.0,733.0,2555.0
CHUWI,21109.0,59207.0,2341.0,9830.0
CamelBak,37828.0,173503.0,8204.0,19919.0
Canon,12214525.0,21102967.0,1902234.0,2152419.0
Chronex,316.0,767.0,47.0,30.0
Cleanblend,1121.0,5223.0,112.0,487.0
Cleanpath,3287.0,6105.0,674.0,406.0
Corsair,521366.0,1579837.0,101820.0,105116.0
Cuisinart,160693.0,659071.0,17195.0,94969.0
De'Longhi,31638.0,192334.0,4095.0,19627.0
Dell,9941860.0,15542272.0,2750648.0,1485544.0
Dentara,274.0,737.0,71.0,55.0
Dyson,1457576.0,2471629.0,257056.0,213684.0
EarFun,3466.0,13872.0,70.0,20.0
Ethicom,80.0,144.0,25.0,9.0
Evergoods,381.0,2851.0,159.0,181.0
Fairphone,47981.0,110474.0,6880.0,5357.0
Fitbit,901409.0,2276302.0,115732.0,204309.0
Flair,373.0,2965.0,17.0,133.0
Fujifilm,2499402.0,4628369.0,353507.0,477904.0
Garmin,1057610.0,3884676.0,142773.0,382225.0
Google,441134.0,984184.0,36432.0,69817.0
HOKA,88417.0,267170.0,7815.0,24039.0
HP,12636988.0,33532655.0,3879386.0,3923423.0
Hamilton Beach,63175.0,236508.0,6613.0,35359.0
Herschel,782869.0,904815.0,137692.0,65850.0
HiFiMAN,12737.0,68702.0,2431.0,3795.0
Hisense,138662.0,358485.0,7747.0,22530.0
Hydro Flask,38684.0,129830.0,2251.0,11906.0
HyperX,97476.0,314084.0,13474.0,21026.0
Innocn,399.0,2682.0,25.0,16.0
Inov-8,18237.0,65177.0,2059.0,8511.0
Insignia,1187897.0,1602760.0,217327.0,160533.0
JBL,496955.0,1358722.0,52953.0,122525.0
Jabra,128469.0,412962.0,10757.0,40282.0
JanSport,26037.0,72164.0,3331.0,9517.0
Keurig,270000.0,990365.0,30501.0,109493.0
Keychron,7540.0,36460.0,80.0,166.0
Keystrike,132.0,475.0,44.0,35.0
KitchenAid,355700.0,926604.0,27999.0,265987.0
LG,5768693.0,12679656.0,1242062.0,1288041.0
Lenovo,1896478.0,5402081.0,233970.0,595000.0
Linksys,188807.0,898812.0,57215.0,93115.0
Logitech,614518.0,2549453.0,110728.0,176689.0
Lumivue,0.0,12.0,0.0,0.0
Motorola,5628729.0,10318264.0,724331.0,1155534.0
Mr. Coffee,34740.0,112773.0,6125.0,18229.0
Nespresso,243776.0,917952.0,21739.0,98716.0
Netgear,327519.0,1185003.0,53616.0,112344.0
Netweave,329.0,719.0,28.0,124.0
New Balance,448510.0,993500.0,51890.0,138853.0
Nike,5767868.0,11022924.0,601755.0,1772923.0
Nikon,2270594.0,6131806.0,465996.0,656427.0
Ninja,2886062.0,5354209.0,325975.0,470414.0
Nothing,11305.0,50088.0,3.0,4.0
Novatech,12358.0,32463.0,1068.0,4067.0
OM System,4694.0,8944.0,1637.0,169.0
Oclean,969.0,8189.0,157.0,300.0
OnePlus,1869865.0,4106564.0,188006.0,303870.0
Optivex,12.0,79.0,8.0,10.0
Oral-B,76099.0,209322.0,8939.0,27751.0
Osprey,810385.0,1404536.0,104359.0,143372.0
Philips,2489920.0,4424423.0,372569.0,510533.0
Pixelight,299.0,991.0,10.0,123.0
Portabrew,8.0,12.0,0.0,8.0
Presswell,1454.0,2984.0,184.0,190.0
Primebook,6421.0,36611.0,249.0,1555.0
Quip,497046.0,718399.0,84395.0,53207.0
Razer,620521.0,1769013.0,89061.0,111108.0
Roborock,17799.0,104021.0,714.0,2041.0
S'well,280474.0,466522.0,34596.0,52392.0
Salomon,739461.0,1002880.0,125794.0,97882.0
Samsung,14042421.0,30273313.0,1665781.0,3561417.0
SanDisk,274440.0,739825.0,45185.0,88405.0
Saucony,72748.0,228889.0,6578.0,33079.0
Seagate,368066.0,1041907.0,72600.0,105739.0
Sennheiser,325505.0,914197.0,33251.0,82322.0
Shark,3055704.0,4947706.0,298549.0,445396.0
Shokz,10265.0,46808.0,1264.0,4298.0
Silicon Power,23484409.0,46212195.0,7864598.0,3757391.0
Sonance,11107.0,25239.0,1111.0,3128.0
Sonaray,198.0,372.0,20.0,44.0
Sonique,13209.0,20097.0,1350.0,1469.0
Sony,14875206.0,26943219.0,1726470.0,2523599.0
SoundPEATS,4038.0,15828.0,298.0,2766.0
Soundcore,32910.0,129762.0,2305.0,4235.0
Stanley,12566101.0,14620914.0,1842590.0,1193705.0
Stridewell,135.0,574.0,14.0,19.0
Swiftform,487.0,701.0,41.0,65.0
TCL,621554.0,1426073.0,200834.0,83113.0
TOZO,5853.0,24638.0,616.0,608.0
TP-Link,89375.0,487434.0,18021.0,32977.0
Teclast,6914.0,32614.0,1016.0,4010.0
Terravolt,134.0,279.0,30.0,33.0
The North Face,2233009.0,6295971.0,3072646.0,328534.0
Thermalux,446.0,1594.0,52.0,345.0
ThermoFlask,540.0,3101.0,48.0,328.0
Topo Athletic,225063.0,448197.0,87695.0,29442.0
Trailpeak,500.0,1981.0,92.0,150.0
Tribit,6573.0,21023.0,437.0,1451.0
Ultimate Ears,1889882.0,3870184.0,1382596.0,284811.0
Varia,0.0,15.0,0.0,0.0
Vaultdrive,32.0,47.0,1.0,5.0
Veridian,25426.0,40594.0,4971.0,4568.0
Vistara,85363.0,120801.0,4776.0,20306.0
Vitamix,111045.0,636925.0,23537.0,72562.0
Vizio,291612.0,632473.0,29090.0,50238.0
Vynex,313.0,258.0,24.0,188.0
Wacaco,1260.0,11553.0,135.0,635.0
Wavecrest,17592.0,27973.0,3196.0,4113.0
Western Digital,1874109.0,5148753.0,746305.0,398339.0
Xiaomi,1737091.0,3975268.0,174160.0,387694.0
Yeti,709712.0,1562697.0,96405.0,143726.0
Zentria,6.0,45.0,0.0,1.0
eufy,32256.0,173899.0,1553.0,4732.0
iRobot,391129.0,1105967.0,46364.0,88860.0
