,RedPajama,Dolma,Pile,C4
1MORE,0.5351291017712594,1.7502698545557571,-1.2306994830918558,-1.0546994732351571
ASICS,0.5151105277077246,1.423196387154217,-1.5969890541767953,-0.3413178606851446
ASUS,0.3402078482102535,1.6045175981968622,-1.3089243382196418,-0.6358011081874757
Acer,0.4127567048739671,1.3861874781292123,-1.0972748068943137,-0.701669376108871
Adidas,0.6746097357981142,1.3241206262943006,-1.6138329959716007,-0.3848973661208177
AeroPress,0.12128524019547804,1.9932802309427249,-1.4911965440801005,-0.6233689270580989
Amazfit,1.0266636637625908,2.060911861174713,-1.8004610480673122,-1.2871144768699931
Amazon,0.9072766036714341,1.4739724709843571,-1.5739473522976262,-0.8073017223581651
Apple,0.6914339691300526,1.4272840432684966,-1.1572531288918526,-0.9614648835067001
Arcwave,2.217085161273154,2.5535015491327986,-2.990838491250376,-1.779748219155576
Atreyu,1.1240084965436274,1.4338347175189359,-1.0715610384476708,-1.4862821756148925
Audio-Technica,0.6932522147206388,1.7106383126971973,-1.806033528304205,-0.5978569991136276
Auralis,0.5564530492254933,0.920074658295122,-0.2450163584866063,-1.23151134903401
Aurem,0.6211940209125855,1.3913962842178655,-0.32842530616626764,-1.6841649989641851
Beats,1.032719463200804,1.3235016908267454,-1.2921655533457557,-1.0640556006817956
Beyerdynamic,0.44185508948852004,1.957305905928596,-1.6019829064110063,-0.7971780890061115
Blendwell,0.7001218953747763,1.3339761895661404,-1.736908806367195,-0.29718927857372357
Bmax,0.010532232832114019,1.6094633380527181,0.6255148907606323,-2.2455104616454653
Bose,0.5965862034330112,1.2414445573836623,-0.5485517360958809,-1.2894790247207943
Brevara,0.18193465633239114,2.113456067935605,-2.1206504366616548,-0.17474028760634153
Breville,0.24732815199990377,1.9968054057699387,-1.8232958027742665,-0.4208377549955813
Brooks,0.719459585691359,1.6214862618155763,-1.794317817194921,-0.5466280303120108
CHUWI,0.4829094985313027,1.5142193045662378,-1.7158320981534017,-0.2812967049441397
CamelBak,0.16163984554269817,1.6847644951704002,-1.3666924341637472,-0.47971190654934937
Canon,0.7622104255852378,1.308998220473665,-1.0973859629787466,-0.9738226830801562
Chronex,0.8319318432727831,1.7168198025431751,-1.055768919696606,-1.492982726119351
Cleanblend,0.3974705906815421,1.935621175555168,-1.8980096766887584,-0.4350820895479517
