,backpacks,blenders,cameras,coffee_makers,electric_toothbrushes,external_ssds,headphones,keyboards,laptops,monitors,portable_speakers,robot_vacuums,running_shoes,smartphones,smartwatches,tablets,tvs,water_bottles,wireless_earbuds,wireless_routers
claude-haiku-4.5,,,,0.55,,0.0,0.55,0.0,,,0.15000000000000002,0.09999999999999998,0.033333333333333326,0.125,0.09999999999999998,,0.01666666666666672,,0.18333333333333335,
deepseek-r1,,,,,,,,,0.09999999999999998,,,,,0.33333333333333337,,,,,,
deepseek-v3,,,,0.44999999999999996,,,0.4666666666666667,,0.30000000000000004,,,,0.35,0.30000000000000004,,,0.23333333333333328,,,
gemini-2.0-flash,0.0,0.19999999999999996,0.0,0.6333333333333333,0.050000000000000044,0.0,0.4666666666666667,0.0,0.23333333333333328,0.0,0.30000000000000004,0.050000000000000044,0.0,0.19999999999999996,0.09999999999999998,0.44999999999999996,0.1333333333333333,0.0,0.23333333333333328,0.0
gemini-2.5-flash,,,,,,,,,0.046511627906976716,,,,,0.22499999999999998,,,,,,
gemini-2.5-flash-lite,,,,,,,,,0.16666666666666663,,,,,0.07499999999999996,,,,,,
gemini-2.5-pro,,,,,,,,,0.95,,,,,,,,,,,
gemini-3-flash,,,,,,,,,0.09999999999999998,,,,,0.25,,,,,,
gemma-3-27b,,,,,,,,,0.4,,,,,0.050000000000000044,,,,,,
gpt-4.1-mini,,,,0.326530612244898,,,0.23333333333333328,,0.050000000000000044,,,,0.01666666666666672,0.021276595744680882,,,0.0,,0.0,
gpt-4.1-nano,0.35,0.19999999999999996,0.0,0.30000000000000004,0.050000000000000044,0.050000000000000044,0.23333333333333328,0.0,0.06666666666666665,0.0,0.050000000000000044,0.09999999999999998,0.01666666666666672,0.1333333333333333,0.15000000000000002,0.050000000000000044,0.06666666666666665,0.15000000000000002,0.21666666666666667,0.0
gpt-4o,,,,0.55,,,0.23333333333333328,,0.16666666666666663,,,,0.06666666666666665,0.08333333333333337,,,0.01666666666666672,,,
gpt-4o-mini,,,,0.31666666666666665,,,0.31666666666666665,,0.16666666666666663,,,,0.125,0.16666666666666663,,,0.050000000000000044,,,
gpt-5-mini,,,,,,,,,0.0,,,,,0.01666666666666672,,,0.15000000000000002,,,
kimi-k2,,,,0.050000000000000044,,,0.4,,0.17500000000000004,,,,0.2833333333333333,0.2666666666666667,,,0.08333333333333337,,,
llama-3.3-70b,,,,0.30000000000000004,,,0.4,,0.44999999999999996,,,,0.15000000000000002,0.23333333333333328,,,0.4666666666666667,,,
qwen-2.5-72b,,,,0.5833333333333333,,,0.6666666666666667,,0.42500000000000004,,,,0.19999999999999996,0.3666666666666667,,,0.09999999999999998,,0.4666666666666667,
