brand,category,familiarity_tier,is_optimal_brand,corpus_frequency,non_optimal_selections,non_optimal_appearances,non_optimal_selection_rate,confabulation_rate,n_models_selecting,mean_utility_loss,mean_price_premium,total_chosen_baseline
De'Longhi,coffee_makers,high,False,247694,111,149,0.7450,0.0360,8,0.1452,20.00,111
Beyerdynamic,headphones,medium,False,202121,116,200,0.5800,0.1466,10,0.1505,80.00,116
AeroPress,coffee_makers,medium,False,368525,62,120,0.5167,0.0000,6,0.0579,15.00,62
OnePlus,smartphones,medium,False,6468305,60,300,0.2000,0.0500,15,0.1153,150.00,60
JBL,"headphones, portable_speakers, wireless_earbuds",medium,False,2031155,108,620,0.1742,0.1111,10,0.1397,37.31,108
ASUS,"laptops, monitors, wireless_routers",medium,False,8949104,85,563,0.1510,0.0353,13,0.1791,164.71,85
Cuisinart,coffee_makers,medium,False,931928,25,200,0.1250,0.0000,8,0.1805,30.00,25
Ninja,blenders,high,False,9036660,5,40,0.1250,0.0000,2,0.0770,-10.00,5
The North Face,backpacks,high,False,11930160,4,40,0.1000,0.5000,1,0.3271,44.01,4
Vizio,tvs,medium,False,1003413,37,440,0.0841,0.0541,8,0.2012,94.05,37
ASICS,running_shoes,medium,False,1101561,30,380,0.0789,0.0000,9,0.1360,25.00,30
Hydro Flask,water_bottles,high,False,182671,3,40,0.0750,0.0000,1,0.3174,24.96,3
Herschel,backpacks,medium,False,1891226,3,40,0.0750,0.0000,1,0.2189,15.00,3
KitchenAid,blenders,high,False,1576290,3,40,0.0750,0.3333,1,0.1969,90.00,3
Sennheiser,headphones,medium,False,1355275,14,200,0.0700,0.1429,5,0.1944,150.00,14
Shark,robot_vacuums,medium,False,8747355,4,60,0.0667,0.0000,3,0.1418,70.00,4
Google,"smartphones, wireless_earbuds, wireless_routers",high,False,1531567,57,927,0.0615,0.0877,10,0.1235,57.28,57
HOKA,running_shoes,medium,False,387441,11,200,0.0550,0.0000,4,0.1259,30.00,11
Ultimate Ears,portable_speakers,medium,False,7427473,3,60,0.0500,0.0000,2,0.2086,30.00,3
Beats,"headphones, wireless_earbuds",high,False,4961815,12,280,0.0429,0.0833,6,0.2357,65.00,12
Nike,running_shoes,high,False,19165470,24,580,0.0414,0.0000,5,0.1601,17.71,24
Shokz,wireless_earbuds,medium,False,62635,3,80,0.0375,0.0000,2,0.3836,140.00,3
Insignia,tvs,medium,False,3168517,8,220,0.0364,0.2500,4,0.2098,50.00,8
Lenovo,"laptops, tablets",high,False,8127529,22,620,0.0355,0.2273,9,0.1724,113.64,22
Samsung,"external_ssds, monitors, smartphones, smartwatches, tablets, tvs, wireless_earbuds",high,False,49542932,62,1847,0.0336,0.3871,10,0.1497,76.71,62
Fitbit,smartwatches,medium,False,3497752,2,60,0.0333,0.0000,2,0.0695,-50.00,2
Acer,laptops,medium,False,6217234,16,483,0.0331,0.0000,7,0.1427,97.50,16
Sony,"cameras, headphones, portable_speakers, tvs, wireless_earbuds",high,False,46068494,40,1320,0.0303,0.3500,8,0.1900,85.72,40
