model,n,non_optimal_k,non_optimal_rate,ci_lo,ci_hi
claude-haiku-4.5,680,126,0.185294,0.157887,0.216237
claude-sonnet-4.6,680,240,0.352941,0.31794,0.389595
deepseek-r1,680,148,0.217647,0.188264,0.250202
deepseek-v3,680,278,0.408824,0.372485,0.446187
gemini-2.0-flash,680,137,0.201471,0.173038,0.233257
gemini-2.5-flash,680,99,0.145588,0.12107,0.174089
gemini-2.5-flash-lite,680,79,0.116176,0.094219,0.142446
gemini-2.5-pro,680,189,0.277941,0.245589,0.312789
gemini-3-flash,680,92,0.135294,0.111625,0.163061
gemma-3-27b,680,103,0.151471,0.126487,0.18037
gpt-4.1-mini,680,59,0.086765,0.067861,0.110311
gpt-4.1-nano,680,88,0.129412,0.10625,0.156737
gpt-4o,680,85,0.125,0.10223,0.151984
gpt-4o-mini,680,95,0.139706,0.115667,0.167793
gpt-5-mini,680,137,0.201471,0.173038,0.233257
kimi-k2,680,172,0.252941,0.221718,0.28694
llama-3.3-70b,680,235,0.345588,0.310801,0.38211
qwen-2.5-72b,680,238,0.35,0.315083,0.386602
