model,Baseline,Baseline_n,Vague,Vague_n,Weighted,Weighted_n,Explicit,Explicit_n,Override,Override_n,Constrained,Constrained_n
claude-haiku-4.5,0.18529411764705883,680,0.14779411764705883,1360,0.10588235294117647,1360,0.004411764705882353,1360,0.0007352941176470588,1360,0.0,1360
claude-sonnet-4.6,0.35294117647058826,680,0.2139705882352941,1360,0.10882352941176471,1360,0.0007352941176470588,1360,0.0,1360,0.003676470588235294,1360
deepseek-r1,0.21764705882352942,680,0.16691176470588234,1360,0.15,1360,0.0014705882352941176,1360,0.007352941176470588,1360,0.0022058823529411764,1360
deepseek-v3,0.4088235294117647,680,0.29926470588235293,1360,0.24779411764705883,1360,0.0029411764705882353,1360,0.0,1360,0.0,1360
gemini-2.0-flash,0.20147058823529412,680,0.13308823529411765,1360,0.12352941176470589,1360,0.0007352941176470588,1360,0.0,1360,0.0,1359
gemini-2.5-flash,0.14558823529411766,680,0.13161764705882353,1360,0.09558823529411764,1360,0.0,1360,0.0,1360,0.0,1360
gemini-2.5-flash-lite,0.1161764705882353,680,0.10661764705882353,1360,0.08308823529411764,1360,0.0,1360,0.0,1360,0.0,1360
gemini-2.5-pro,0.27794117647058825,680,0.2852941176470588,1360,0.25735294117647056,1360,0.08970588235294118,1360,0.06764705882352941,1360,0.1698529411764706,1360
gemini-3-flash,0.13529411764705881,680,0.06544117647058824,1360,0.058823529411764705,1360,0.0,1360,0.0,1360,0.0,1360
gemma-3-27b,0.1514705882352941,680,0.15294117647058825,1360,0.05514705882352941,1360,0.0,1360,0.0,1360,0.0,1360
gpt-4.1-mini,0.08676470588235294,680,0.07720588235294118,1360,0.05514705882352941,1360,0.0,1360,0.0,1360,0.0,1360
gpt-4.1-nano,0.12941176470588237,680,0.1948529411764706,1360,0.13308823529411765,1360,0.0007352941176470588,1360,0.0,1360,0.0,1360
gpt-4o,0.125,680,0.09558823529411764,1360,0.10514705882352941,1360,0.0,1360,0.0,1360,0.0,1360
gpt-4o-mini,0.13970588235294118,680,0.13014705882352942,1360,0.11397058823529412,1360,0.0,1360,0.0,1360,0.0,1360
gpt-5-mini,0.20147058823529412,680,0.13970588235294118,1360,0.10073529411764706,1360,0.0,1360,0.0,1360,0.0,1360
kimi-k2,0.2529411764705882,680,0.19338235294117648,1360,0.18161764705882352,1360,0.005147058823529412,1360,0.009558823529411765,1360,0.0,1360
llama-3.3-70b,0.34558823529411764,680,0.2838235294117647,1360,0.15294117647058825,1360,0.0,1360,0.0,1360,0.0,1360
qwen-2.5-72b,0.35,680,0.27647058823529413,1360,0.16176470588235295,1360,0.0,1360,0.0,1360,0.0,1360
