model,n_nonoptimal,brand_cited,attribute_confabulated,confabulation_rate
claude-haiku-4.5,126,30,96,76.2
claude-sonnet-4.6,240,158,82,34.2
deepseek-r1,148,63,85,57.4
deepseek-v3,278,99,179,64.4
gemini-2.0-flash,137,11,126,92.0
gemini-2.5-flash,99,2,97,98.0
gemini-2.5-flash-lite,79,5,74,93.7
gemini-2.5-pro,189,5,184,97.4
gemini-3-flash,92,9,83,90.2
gemma-3-27b,103,32,71,68.9
gpt-4.1-mini,59,7,52,88.1
gpt-4.1-nano,88,9,79,89.8
gpt-4o,85,2,83,97.6
gpt-4o-mini,95,3,92,96.8
gpt-5-mini,137,54,83,60.6
kimi-k2,172,20,152,88.4
llama-3.3-70b,235,27,208,88.5
qwen-2.5-72b,238,6,232,97.5
