model,Baseline,Baseline_n,Vague,Vague_n,Weighted,Weighted_n,Explicit,Explicit_n,Override,Override_n,Constrained,Constrained_n
claude-haiku-4.5,0.20909090909090908,440,0.175,880,0.15722543352601157,865,0.004651162790697674,860,0.0,860,0.0,869
deepseek-r1,0.24,100,0.12631578947368421,190,0.19,200,0.0,194,0.0,180,0.0,180
deepseek-v3,0.346875,320,0.2828125,640,0.303125,640,0.0015625,640,0.0,639,0.0,640
gemini-2.0-flash,0.20147058823529412,680,0.1323529411764706,1360,0.12279411764705882,1360,0.0007352941176470588,1360,0.0,1360,0.0,1360
gemini-2.5-flash,0.13253012048192772,83,0.09375,160,0.0375,160,0.0,160,0.0,160,0.0,160
gemini-2.5-flash-lite,0.13,100,0.13,200,0.045,200,0.0,200,0.0,200,0.0,200
gemini-2.5-pro,0.95,20,0.475,40,0.0,40,0.0,40,0.0,40,0.0,40
gemini-3-flash,0.1375,80,0.04375,160,0.0,160,0.0,160,0.0,160,0.0,160
gemma-3-27b,0.3125,80,0.19375,160,0.0375,160,0.0,160,0.0,160,0.0,160
gpt-4.1-mini,0.09831460674157304,356,0.10263157894736842,760,0.07368421052631578,760,0.0,755,0.0,743,0.0,755
gpt-4.1-nano,0.125,680,0.19044117647058822,1360,0.14044117647058824,1360,0.0007352941176470588,1360,0.0,1360,0.0,1360
gpt-4o,0.16470588235294117,340,0.11929307805596466,679,0.15735294117647058,680,0.0,679,0.0,677,0.0,669
gpt-4o-mini,0.19411764705882353,340,0.16047548291233285,673,0.15,680,0.0,680,0.0,680,0.0,680
gpt-5-mini,0.07142857142857142,140,0.11,300,0.12367491166077739,283,0.0,300,0.0,288,0.0,310
kimi-k2,0.23333333333333334,300,0.16833333333333333,600,0.19333333333333333,600,0.005,600,0.005,600,0.0,600
llama-3.3-70b,0.33,300,0.22413793103448276,580,0.18620689655172415,580,0.0,580,0.0,565,0.0,560
qwen-2.5-72b,0.4,400,0.2925,800,0.2225,800,0.0,800,0.0,797,0.0,800
