model,provider,n_low_spec,n_high_spec,nonopt_rate_low,nonopt_rate_high,OR,log_OR,SE_log_OR,CI95_lo,CI95_hi,z,p_value,significant_p05
claude-haiku-4.5,anthropic,2185,2589,0.1748,0.0015,136.92,4.9194,0.5035,51.03,367.36,9.77,1.52e-22,True
deepseek-r1,openrouter,490,554,0.1755,0.0,237.15,5.4687,1.4198,14.67,3833.44,3.85,1.17e-04,True
deepseek-v3,openrouter,1600,1919,0.3038,0.0005,836.76,6.7295,1.0017,117.46,5960.67,6.72,1.84e-11,True
gemini-2.0-flash,google,3400,4080,0.1424,0.0002,677.04,6.5177,1.0013,95.12,4819.01,6.51,7.56e-11,True
gemini-2.5-flash,google,403,480,0.0794,0.0,84.07,4.4317,1.4267,5.13,1377.53,3.11,1.90e-03,True
gemini-2.5-flash-lite,google,500,600,0.096,0.0,128.73,4.8577,1.4228,7.92,2093.24,3.41,6.40e-04,True
gemini-2.5-pro,google,100,120,0.38,0.0,148.46,5.0003,1.4319,8.97,2457.18,3.49,4.79e-04,True
gemini-3-flash,google,400,480,0.045,0.0,46.48,3.839,1.4348,2.79,773.78,2.68,7.46e-03,True
gemma-3-27b,google,400,480,0.155,0.0,177.44,5.1786,1.4216,10.94,2878.47,3.64,2.70e-04,True
gpt-4.1-mini,openai,1876,2253,0.0901,0.0,447.4,6.1035,1.4167,27.85,7187.58,4.31,1.64e-05,True
gpt-4.1-nano,openai,3400,4080,0.1574,0.0002,761.7,6.6356,1.0012,107.03,5420.61,6.63,3.42e-11,True
gpt-4o,openai,1699,2025,0.1436,0.0,680.5,6.5228,1.4161,42.41,10919.86,4.61,4.10e-06,True
gpt-4o-mini,openai,1693,2040,0.163,0.0,796.05,6.6797,1.4159,49.62,12769.94,4.72,2.39e-06,True
gpt-5-mini,openai,723,898,0.1079,0.0,218.54,5.3869,1.4196,13.52,3531.43,3.79,1.48e-04,True
kimi-k2,openrouter,1500,1800,0.1913,0.0033,70.74,4.2591,0.4142,31.42,159.31,10.28,8.36e-25,True
llama-3.3-70b,openrouter,1460,1705,0.2308,0.0,1024.67,6.9321,1.4158,63.89,16433.14,4.9,9.76e-07,True
qwen-2.5-72b,openrouter,2000,2397,0.286,0.0,1921.69,7.561,1.4152,119.96,30785.65,5.34,9.16e-08,True
